                 x                 y
    0.00000000E+00    0.00000000E+00
    0.00000000E+00    0.00000000E+00
    1.18532307E-12    0.00000000E+00
    3.55596849E-12    7.44760006E-16
    7.11193512E-12    2.97903914E-15
    1.18532213E-11    7.44759536E-15
    1.77798249E-11    1.48951851E-14
    2.48917434E-11    2.60665632E-14
    3.31889738E-11    4.17064821E-14
    4.26715124E-11    6.25596923E-14
    5.33393555E-11    8.93709414E-14
    6.51924984E-11    1.22884974E-13
    7.82309363E-11    1.63846532E-13
    9.24546638E-11    2.13000353E-13
    1.07863675E-10    2.71091171E-13
    1.24457964E-10    3.38863716E-13
    1.42237523E-10    4.17062714E-13
    1.61202346E-10    5.06432885E-13
    1.81352424E-10    6.07718947E-13
    2.02687750E-10    7.21665608E-13
    2.25208315E-10    8.49017575E-13
    2.48914110E-10    9.90519546E-13
    2.73805124E-10    1.14691621E-12
    2.99881349E-10    1.31895227E-12
    3.27142773E-10    1.50737238E-12
    3.55589386E-10    1.71292123E-12
    3.85221176E-10    1.93634349E-12
    4.16038131E-10    2.17838380E-12
    4.48040238E-10    2.43978682E-12
    4.81227486E-10    2.72129720E-12
    5.15599860E-10    3.02365955E-12
    5.51157347E-10    3.34761852E-12
    5.87899932E-10    3.69391870E-12
    6.25827601E-10    4.06330472E-12
    6.64940338E-10    4.45652116E-12
    7.05238129E-10    4.87431261E-12
    7.46720956E-10    5.31742364E-12
    7.89388803E-10    5.78659883E-12
    8.33241653E-10    6.28258272E-12
    8.78279489E-10    6.80611986E-12
    9.24502292E-10    7.35795478E-12
    9.71910044E-10    7.93883200E-12
    1.02050273E-09    8.54949603E-12
    1.07028032E-09    9.19069136E-12
    1.12124280E-09    9.86316248E-12
    1.17339016E-09    1.05676538E-11
    1.22672236E-09    1.13049099E-11
    1.28123939E-09    1.20756752E-11
    1.33694123E-09    1.28806940E-11
    1.39382785E-09    1.37207108E-11
    1.45189923E-09    1.45964700E-11
    1.51115536E-09    1.55087160E-11
    1.57159619E-09    1.64581932E-11
    1.63322172E-09    1.74456459E-11
    1.69603191E-09    1.84718184E-11
    1.76002675E-09    1.95374551E-11
    1.82520620E-09    2.06433003E-11
    1.89157024E-09    2.17900983E-11
    1.95911884E-09    2.29785933E-11
    2.02785198E-09    2.42095296E-11
    2.09776963E-09    2.54836515E-11
    2.16887176E-09    2.68017032E-11
    2.24115834E-09    2.81644288E-11
    2.31462935E-09    2.95725726E-11
    2.38928475E-09    3.10268787E-11
    2.46512452E-09    3.25280914E-11
    2.54214862E-09    3.40769546E-11
    2.62035702E-09    3.56742125E-11
    2.69974970E-09    3.73206093E-11
    2.78032662E-09    3.90168890E-11
    2.86208775E-09    4.07637955E-11
    2.94503306E-09    4.25620731E-11
    3.02916251E-09    4.44124656E-11
    3.11447607E-09    4.63157171E-11
    3.20097371E-09    4.82725715E-11
    3.28865539E-09    5.02837729E-11
    3.37752108E-09    5.23500650E-11
    3.46757074E-09    5.44721918E-11
    3.55880433E-09    5.66508971E-11
    3.65122183E-09    5.88869250E-11
    3.74482319E-09    6.11810190E-11
    3.83960838E-09    6.35339232E-11
    3.93557735E-09    6.59463812E-11
    4.03273008E-09    6.84191368E-11
    4.13106651E-09    7.09529338E-11
    4.23058662E-09    7.35485159E-11
    4.33129036E-09    7.62066267E-11
    4.43317770E-09    7.89280099E-11
    4.53624859E-09    8.17134092E-11
    4.64050299E-09    8.45635681E-11
    4.74594086E-09    8.74792303E-11
    4.85256216E-09    9.04611392E-11
    4.96036685E-09    9.35100385E-11
    5.06935487E-09    9.66266717E-11
    5.17952620E-09    9.98117821E-11
    5.29088079E-09    1.03066113E-10
    5.40341859E-09    1.06390409E-10
    5.51713955E-09    1.09785412E-10
    5.63204364E-09    1.13251865E-10
    5.74813081E-09    1.16790514E-10
    5.86540101E-09    1.20402099E-10
    5.98385419E-09    1.24087366E-10
    6.10349030E-09    1.27847057E-10
    6.22430931E-09    1.31681915E-10
    6.34631116E-09    1.35592683E-10
    6.46949580E-09    1.39580105E-10
    6.59386319E-09    1.43644924E-10
    6.71941328E-09    1.47787883E-10
    6.84614600E-09    1.52009725E-10
    6.97406133E-09    1.56311192E-10
    7.10315920E-09    1.60693029E-10
    7.23343956E-09    1.65155978E-10
    7.36490236E-09    1.69700781E-10
    7.49754756E-09    1.74328182E-10
    7.63137509E-09    1.79038924E-10
    7.76638490E-09    1.83833750E-10
    7.90257694E-09    1.88713401E-10
    8.03995117E-09    1.93678622E-10
    8.17850751E-09    1.98730154E-10
    8.31824592E-09    2.03868741E-10
    8.45916634E-09    2.09095125E-10
    8.60126871E-09    2.14410049E-10
    8.74455299E-09    2.19814255E-10
    8.88901911E-09    2.25308486E-10
    9.03466701E-09    2.30893484E-10
    9.18149664E-09    2.36569993E-10
    9.32950794E-09    2.42338753E-10
    9.47870085E-09    2.48200509E-10
    9.62907532E-09    2.54156001E-10
    9.78063127E-09    2.60205974E-10
    9.93336866E-09    2.66351167E-10
    1.00872874E-08    2.72592325E-10
    1.02423875E-08    2.78930189E-10
    1.03986688E-08    2.85365502E-10
    1.05561313E-08    2.91899005E-10
    1.07147749E-08    2.98531440E-10
    1.08745996E-08    3.05263551E-10
    1.10356053E-08    3.12096078E-10
    1.11977919E-08    3.19029764E-10
    1.13611594E-08    3.26065351E-10
    1.15257077E-08    3.33203580E-10
    1.16914368E-08    3.40445193E-10
    1.18583465E-08    3.47790933E-10
    1.20264368E-08    3.55241541E-10
    1.21957077E-08    3.62797759E-10
    1.23661590E-08    3.70460328E-10
    1.25377907E-08    3.78229990E-10
