                 x                 y
    0.00000000E+00    0.00000000E+00
    5.92661533E-09    0.00000000E+00
    2.36829950E-08    7.44756107E-10
    5.31988345E-08    2.97605831E-09
    9.43572745E-08    7.42977657E-09
    1.46995371E-07    1.48329313E-08
    2.10904754E-07    2.59008004E-08
    2.85832461E-07    4.13340744E-08
    3.71481961E-07    6.18160718E-08
    4.67514343E-07    8.80100257E-08
    5.73549679E-07    1.20556453E-07
    6.89168551E-07    1.60070615E-07
    8.13913732E-07    2.07140088E-07
    9.47292022E-07    2.62322434E-07
    1.08877622E-06    3.26143008E-07
    1.23780724E-06    3.99092889E-07
    1.39379634E-06    4.81626950E-07
    1.55612748E-06    5.74162077E-07
    1.72415975E-06    6.77075541E-07
    1.89722999E-06    7.90703528E-07
    2.07465534E-06    9.15339841E-07
    2.25573602E-06    1.05123476E-06
    2.43975810E-06    1.19859409E-06
    2.62599628E-06    1.35757838E-06
    2.81371681E-06    1.52830232E-06
    3.00218038E-06    1.71083431E-06
    3.19064500E-06    1.90519625E-06
    3.37836898E-06    2.11136347E-06
    3.56461380E-06    2.32926488E-06
    3.74864704E-06    2.55878324E-06
    3.92974522E-06    2.79975570E-06
    4.10719667E-06    3.05197448E-06
    4.28030429E-06    3.31518766E-06
    4.44838828E-06    3.58910024E-06
    4.61078879E-06    3.87337532E-06
    4.76686848E-06    4.16763544E-06
    4.91601503E-06    4.47146409E-06
    5.05764345E-06    4.78440734E-06
    5.19119845E-06    5.10597567E-06
    5.31615649E-06    5.43564588E-06
    5.43202787E-06    5.77286314E-06
    5.53835862E-06    6.11704320E-06
    5.63473222E-06    6.46757463E-06
    5.72077124E-06    6.82382129E-06
    5.79613876E-06    7.18512474E-06
    5.86053974E-06    7.55080687E-06
    5.91372206E-06    7.92017251E-06
    5.95547755E-06    8.29251215E-06
    5.98564281E-06    8.66710471E-06
    6.00409977E-06    9.04322035E-06
    6.01077620E-06    9.42012329E-06
    6.00564596E-06    9.79707470E-06
    5.98872914E-06    1.01733356E-05
    5.96009191E-06    1.05481695E-05
    5.91984634E-06    1.09208458E-05
    5.86814993E-06    1.12906420E-05
    5.80520502E-06    1.16568469E-05
    5.73125798E-06    1.20187633E-05
    5.64659832E-06    1.23757108E-05
    5.55155751E-06    1.27270280E-05
    5.44650777E-06    1.30720759E-05
    5.33186056E-06    1.34102396E-05
    5.20806505E-06    1.37409311E-05
    5.07560638E-06    1.40635916E-05
    4.93500375E-06    1.43776936E-05
    4.78680843E-06    1.46827432E-05
    4.63160164E-06    1.49782814E-05
    4.46999227E-06    1.52638869E-05
    4.30261454E-06    1.55391770E-05
    4.13012549E-06    1.58038093E-05
    3.95320249E-06    1.60574833E-05
    3.77254053E-06    1.62999414E-05
    3.58884955E-06    1.65309699E-05
    3.40285165E-06    1.67504000E-05
    3.21527827E-06    1.69581086E-05
    3.02686730E-06    1.71540184E-05
    2.83836022E-06    1.73380987E-05
    2.65049915E-06    1.75103653E-05
    2.46402394E-06    1.76708805E-05
    2.27966925E-06    1.78197529E-05
    2.09816166E-06    1.79571373E-05
    1.92021678E-06    1.80832334E-05
    1.74653640E-06    1.81982858E-05
    1.57780577E-06    1.83025827E-05
    1.41469080E-06    1.83964548E-05
    1.25783546E-06    1.84802741E-05
    1.10785919E-06    1.85544524E-05
    9.65354446E-07    1.86194398E-05
    8.30884337E-07    1.86757226E-05
    7.04980359E-07    1.87238219E-05
    5.88140275E-07    1.87642912E-05
    4.80826124E-07    1.87977142E-05
    3.83462366E-07    1.88247028E-05
    2.96434180E-07    1.88458943E-05
    2.20085917E-07    1.88619492E-05
    1.54719717E-07    1.88735483E-05
    1.00594290E-07    1.88813901E-05
    5.79238829E-08    1.88861883E-05
    2.68774101E-08    1.88886684E-05
    7.57777747E-09    1.88895655E-05
    1.01386061E-10    1.88896205E-05
    4.47782498E-09    1.88895782E-05
    2.06897522E-08    1.88901834E-05
    4.86729647E-08    1.88921784E-05
    8.83166573E-08    1.88963001E-05
    1.39463869E-07    1.89032768E-05
    2.01912117E-07    1.89138254E-05
    2.75414208E-07    1.89286488E-05
    3.59679237E-07    1.89484327E-05
    4.54373757E-07    1.89738429E-05
    5.59123117E-07    1.90055233E-05
    6.73512968E-07    1.90440924E-05
    7.97090929E-07    1.90901416E-05
    9.29368395E-07    1.91442325E-05
    1.06982250E-06    1.92068947E-05
    1.21789821E-06    1.92786240E-05
    1.37301053E-06    1.93598799E-05
    1.53454687E-06    1.94510845E-05
    1.70186945E-06    1.95526203E-05
    1.87431786E-06    1.96648290E-05
    2.05121170E-06    1.97880098E-05
    2.23185326E-06    1.99224189E-05
    2.41553030E-06    2.00682678E-05
    2.60151889E-06    2.02257232E-05
    2.78908621E-06    2.03949057E-05
    2.97749355E-06    2.05758898E-05
    3.16599912E-06    2.07687035E-05
    3.35386103E-06    2.09733282E-05
    3.54034021E-06    2.11896989E-05
    3.72470328E-06    2.14177043E-05
    3.90622546E-06    2.16571877E-05
    4.08419339E-06    2.19079469E-05
    4.25790791E-06    2.21697359E-05
    4.42668682E-06    2.24422652E-05
    4.58986752E-06    2.27252034E-05
    4.74680960E-06    2.30181783E-05
    4.89689731E-06    2.33207783E-05
    5.03954198E-06    2.36325544E-05
    5.17418429E-06    2.39530216E-05
    5.30029644E-06    2.42816610E-05
    5.41738419E-06    2.46179218E-05
    5.52498878E-06    2.49612235E-05
    5.62268867E-06    2.53109582E-05
    5.71010124E-06    2.56664928E-05
    5.78688418E-06    2.60271716E-05
    5.85273687E-06    2.63923190E-05
    5.90740151E-06    2.67612419E-05
    5.95066413E-06    2.71332325E-05
    5.98235538E-06    2.75075711E-05
    6.00235122E-06    2.78835289E-05
    6.01057340E-06    2.82603707E-05
    6.00698971E-06    2.86373579E-05
    5.99161415E-06    2.90137513E-05
    5.96450688E-06    2.93888141E-05
    5.92577396E-06    2.97618146E-05
    5.87556694E-06    3.01320291E-05
    5.81408233E-06    3.04987448E-05
    5.74156077E-06    3.08612626E-05
    5.65828616E-06    3.12188994E-05
    5.56458456E-06    3.15709916E-05
    5.46082290E-06    3.19168967E-05
    5.34740759E-06    3.22559967E-05
    5.22478297E-06    3.25876999E-05
    5.09342955E-06    3.29114436E-05
    4.95386219E-06    3.32266960E-05
    4.80662809E-06    3.35329585E-05
    4.65230467E-06    3.38297677E-05
    4.49149735E-06    3.41166971E-05
    4.32483716E-06    3.43933588E-05
    4.15297832E-06    3.46594051E-05
    3.97659570E-06    3.49145300E-05
    3.79638214E-06    3.51584700E-05
    3.61304580E-06    3.53910058E-05
    3.42730738E-06    3.56119626E-05
    3.23989725E-06    3.58212111E-05
    3.05155265E-06    3.60186683E-05
    2.86301478E-06    3.62042972E-05
    2.67502585E-06    3.63781075E-05
    2.48832619E-06    3.65401555E-05
    2.30365133E-06    3.66905438E-05
    2.12172909E-06    3.68294210E-05
    1.94327668E-06    3.69569811E-05
    1.76899789E-06    3.70734629E-05
    1.59958029E-06    3.71791490E-05
    1.43569250E-06    3.72743645E-05
    1.27798150E-06    3.73594761E-05
    1.12707010E-06    3.74348906E-05
    9.83554445E-07    3.75010530E-05
    8.48001599E-07    3.75584452E-05
