                 x                 y
0.00000000E+00    6.28318531E+00
-3.94784137E-03    6.28318407E+00
-7.89568118E-03    6.28318035E+00
-1.18435179E-02    6.28317414E+00
-1.57913499E-02    6.28316546E+00
-1.97391757E-02    6.28315430E+00
-2.36869937E-02    6.28314066E+00
-2.76348023E-02    6.28312453E+00
-3.15826000E-02    6.28310593E+00
-3.55303853E-02    6.28308485E+00
-3.94781565E-02    6.28306128E+00
-4.34259122E-02    6.28303524E+00
-4.73736507E-02    6.28300671E+00
-5.13213705E-02    6.28297571E+00
-5.52690701E-02    6.28294222E+00
-5.92167478E-02    6.28290625E+00
-6.31644021E-02    6.28286781E+00
-6.71120315E-02    6.28282688E+00
-7.10596345E-02    6.28278347E+00
-7.50072093E-02    6.28273758E+00
-7.89547546E-02    6.28268921E+00
-8.29022687E-02    6.28263836E+00
-8.68497500E-02    6.28258504E+00
-9.07971971E-02    6.28252923E+00
-9.47446083E-02    6.28247094E+00
-9.86919821E-02    6.28241017E+00
-1.02639317E-01    6.28234692E+00
-1.06586611E-01    6.28228119E+00
-1.10533864E-01    6.28221298E+00
-1.14481072E-01    6.28214228E+00
-1.18428236E-01    6.28206911E+00
-1.22375352E-01    6.28199346E+00
-1.26322421E-01    6.28191533E+00
-1.30269439E-01    6.28183472E+00
-1.34216406E-01    6.28175163E+00
-1.38163320E-01    6.28166606E+00
-1.42110180E-01    6.28157801E+00
-1.46056983E-01    6.28148748E+00
-1.50003729E-01    6.28139447E+00
-1.53950416E-01    6.28129898E+00
-1.57897041E-01    6.28120101E+00
-1.61843605E-01    6.28110056E+00
-1.65790104E-01    6.28099763E+00
-1.69736538E-01    6.28089222E+00
-1.73682906E-01    6.28078433E+00
-1.77629204E-01    6.28067397E+00
-1.81575432E-01    6.28056112E+00
-1.85521589E-01    6.28044579E+00
-1.89467673E-01    6.28032799E+00
-1.93413681E-01    6.28020770E+00
-1.97359614E-01    6.28008493E+00
-2.01305468E-01    6.27995969E+00
-2.05251243E-01    6.27983197E+00
-2.09196937E-01    6.27970176E+00
-2.13142548E-01    6.27956908E+00
-2.17088075E-01    6.27943392E+00
-2.21033517E-01    6.27929628E+00
-2.24978871E-01    6.27915616E+00
-2.28924136E-01    6.27901356E+00
-2.32869311E-01    6.27886849E+00
-2.36814395E-01    6.27872093E+00
-2.40759384E-01    6.27857090E+00
-2.44704279E-01    6.27841838E+00
-2.48649077E-01    6.27826339E+00
-2.52593776E-01    6.27810592E+00
-2.56538376E-01    6.27794597E+00
-2.60482875E-01    6.27778355E+00
-2.64427271E-01    6.27761864E+00
-2.68371563E-01    6.27745126E+00
-2.72315748E-01    6.27728140E+00
-2.76259826E-01    6.27710906E+00
-2.80203795E-01    6.27693424E+00
-2.84147654E-01    6.27675694E+00
-2.88091400E-01    6.27657717E+00
-2.92035033E-01    6.27639492E+00
-2.95978550E-01    6.27621019E+00
-2.99921950E-01    6.27602298E+00
-3.03865232E-01    6.27583329E+00
-3.07808394E-01    6.27564113E+00
-3.11751435E-01    6.27544649E+00
-3.15694352E-01    6.27524937E+00
-3.19637145E-01    6.27504978E+00
-3.23579812E-01    6.27484770E+00
-3.27522350E-01    6.27464315E+00
-3.31464760E-01    6.27443613E+00
-3.35407039E-01    6.27422662E+00
-3.39349185E-01    6.27401464E+00
