                 x                 y
0.00000000E+00    6.28318531E+00
-3.94393391E-01    6.27078287E+00
-7.87225214E-01    6.23362495E+00
-1.17694019E+00    6.17185953E+00
-1.56199561E+00    6.08573256E+00
-1.94086751E+00    5.97558698E+00
-2.31205684E+00    5.84186124E+00
-2.67409545E+00    5.68508757E+00
-3.02555202E+00    5.50588975E+00
-3.36503776E+00    5.30498057E+00
-3.69121197E+00    5.08315886E+00
-4.00278740E+00    4.84130629E+00
-4.29853535E+00    4.58038373E+00
-4.57729057E+00    4.30142729E+00
-4.83795581E+00    4.00554416E+00
-5.07950620E+00    3.69390810E+00
-5.30099324E+00    3.36775461E+00
-5.50154849E+00    3.02837601E+00
-5.68038693E+00    2.67711617E+00
-5.83681000E+00    2.31536513E+00
-5.97020825E+00    1.94455345E+00
-6.08006364E+00    1.56614655E+00
-6.16595149E+00    1.18163881E+00
-6.22754197E+00    7.92547600E-01
-6.26460135E+00    4.00407286E-01
-6.27699271E+00    6.76311170E-03
-6.26467638E+00   -3.86834890E-01
-6.22770994E+00   -7.78838014E-01
-6.16624786E+00   -1.16770497E+00
-6.08054073E+00   -1.55190791E+00
-5.97093414E+00   -1.92993842E+00
-5.83786723E+00   -2.30031337E+00
-5.68187078E+00   -2.66158068E+00
-5.50356506E+00   -3.01232498E+00
-5.30365726E+00   -3.35117300E+00
-5.08293866E+00   -3.67679895E+00
-4.84228141E+00   -3.98792954E+00
-4.58263504E+00   -4.28334890E+00
-4.30502273E+00   -4.56190321E+00
-4.01053724E+00   -4.82250511E+00
-3.70033659E+00   -5.06413783E+00
-3.37563957E+00   -5.28585904E+00
-3.03772093E+00   -5.48680447E+00
-2.68790642E+00   -5.66619110E+00
-2.32756769E+00   -5.82332020E+00
-1.95811691E+00   -5.95757990E+00
-1.58100134E+00   -6.06844755E+00
-1.19769774E+00   -6.15549162E+00
-8.09706696E-01   -6.21837340E+00
-4.18546797E-01   -6.25684821E+00
-2.57488296E-02   -6.27076633E+00
3.67150120E-01   -6.26007362E+00
7.58612574E-01   -6.22481162E+00
1.14710657E+00   -6.16511749E+00
1.53111157E+00   -6.08122345E+00
1.90912427E+00   -5.97345591E+00
2.27966443E+00   -5.84223425E+00
2.64128055E+00   -5.68806925E+00
2.99255550E+00   -5.51156117E+00
3.33211197E+00   -5.31339748E+00
3.65861784E+00   -5.09435028E+00
3.97079131E+00   -4.85527335E+00
4.26740594E+00   -4.59709899E+00
4.54729540E+00   -4.32083442E+00
4.80935807E+00   -4.02755799E+00
5.05256137E+00   -3.71841507E+00
5.27594580E+00   -3.39461370E+00
5.47862882E+00   -3.05741992E+00
5.65980832E+00   -2.70815301E+00
5.81876586E+00   -2.34818033E+00
5.95486959E+00   -1.97891212E+00
6.06757683E+00   -1.60179601E+00
6.15643630E+00   -1.21831146E+00
6.22109003E+00   -8.29963980E-01
6.26127488E+00   -4.38279273E-01
6.27682376E+00   -4.47972901E-02
6.26766636E+00    3.48933814E-01
6.23382962E+00    7.41363760E-01
6.17543775E+00    1.13094625E+00
6.09271188E+00    1.51614509E+00
5.98596932E+00    1.89544025E+00
5.85562247E+00    2.26733395E+00
5.70217730E+00    2.63035658E+00
5.52623147E+00    2.98307263E+00
5.32847208E+00    3.32408640E+00
5.10967306E+00    3.65204763E+00
4.87069217E+00    3.96565691E+00
4.61246772E+00    4.26367098E+00
4.33601489E+00    4.54490774E+00
4.04242174E+00    4.80825101E+00
3.73284498E+00    5.05265513E+00
3.40850533E+00    5.27714917E+00
3.07068274E+00    5.48084092E+00
2.72071128E+00    5.66292053E+00
2.35997381E+00    5.82266382E+00
1.98989647E+00    5.95943527E+00
1.61194296E+00    6.07269059E+00
1.22760868E+00    6.16197898E+00
8.38414705E-01    6.22694500E+00
4.45901666E-01    6.26733001E+00
5.16235710E-02    6.28297322E+00
-3.42858475E-01    6.27381239E+00
-7.35982549E-01    6.23988407E+00
-1.12619221E+00    6.18132342E+00
-1.51194276E+00    6.09836371E+00
-1.89170747E+00    5.99133530E+00
-2.26398371E+00    5.86066431E+00
-2.62729902E+00    5.70687087E+00
-2.98021697E+00    5.53056697E+00
-3.32134293E+00    5.33245392E+00
-3.64932968E+00    5.11331954E+00
-3.96288275E+00    4.87403488E+00
-4.26076555E+00    4.61555065E+00
-4.54180433E+00    4.33889337E+00
-4.80489278E+00    4.04516120E+00
-5.04899639E+00    3.73551940E+00
-5.27315652E+00    3.41119567E+00
-5.47649410E+00    3.07347517E+00
-5.65821310E+00    2.72369528E+00
-5.81760353E+00    2.36324025E+00
-5.95404421E+00    1.99353563E+00
-6.06700505E+00    1.61604255E+00
-6.15604909E+00    1.23225185E+00
-6.22083406E+00    8.43678190E-01
-6.26111360E+00    4.51853971E-01
-6.27673812E+00    5.83232906E-02
-6.26765520E+00   -3.35364174E-01
-6.23390971E+00   -7.27659272E-01
-6.17564345E+00   -1.11701947E+00
-6.09309446E+00   -1.50191489E+00
-5.98659595E+00   -1.88083431E+00
-5.85657485E+00   -2.25229102E+00
-5.70355004E+00   -2.61482862E+00
-5.52813014E+00   -2.96702665E+00
-5.33101108E+00   -3.30750609E+00
-5.11297322E+00   -3.63493467E+00
-4.87487824E+00   -3.94803197E+00
-4.61766570E+00   -4.24557436E+00
-4.34234928E+00   -4.52639964E+00
-4.05001279E+00   -4.78941152E+00
-3.74180589E+00   -5.03358375E+00
-3.41893962E+00   -5.25796404E+00
-3.08268158E+00   -5.46167767E+00
-2.73435111E+00   -5.64393078E+00
-2.37531406E+00   -5.80401340E+00
-2.00697756E+00   -5.94130211E+00
-1.63078454E+00   -6.05526239E+00
-1.24820818E+00   -6.14545063E+00
-8.60746243E-01   -6.21151583E+00
-4.69915263E-01   -6.25320085E+00
-7.72447526E-02   -6.27034345E+00
3.15728697E-01   -6.26287686E+00
7.07467321E-01   -6.23083005E+00
1.09643809E+00   -6.17432759E+00
1.48111860E+00   -6.09358923E+00
1.86000295E+00   -5.98892904E+00
2.23160750E+00   -5.86075426E+00
2.59447664E+00   -5.70956375E+00
2.94718835E+00   -5.53594612E+00
3.28835975E+00   -5.34057751E+00
3.61665244E+00   -5.12421906E+00
3.93077768E+00   -4.88771403E+00
4.22950144E+00   -4.63198460E+00
4.51164917E+00   -4.35802838E+00
4.77611046E+00   -4.06691464E+00
5.02184337E+00   -3.75978023E+00
5.24787856E+00   -3.43782524E+00
5.45332311E+00   -3.10230845E+00
5.63736415E+00   -2.75454246E+00
5.79927204E+00   -2.39588869E+00
5.93840338E+00   -2.02775210E+00
6.05420365E+00   -1.65157583E+00
6.14620943E+00   -1.26883553E+00
6.21405041E+00   -8.81033719E-01
6.25745095E+00   -4.89693853E-01
6.27623130E+00   -9.63544358E-02
6.27030845E+00    2.97437031E-01
6.23969661E+00    6.90130125E-01
6.18450726E+00    1.08017760E+00
6.10494890E+00    1.46604153E+00
6.00132636E+00    1.84619935E+00
5.87403969E+00    2.21914995E+00
5.72358275E+00    2.58341966E+00
5.55054139E+00    2.93756811E+00
5.35559118E+00    3.28019402E+00
5.13949492E+00    3.60994081E+00
4.90309966E+00    3.92550212E+00
4.64733342E+00    4.22562701E+00
4.37320162E+00    4.50912508E+00
4.08178310E+00    4.77487125E+00
3.77422590E+00    5.02181040E+00
3.45174270E+00    5.24896160E+00
3.11560607E+00    5.45542215E+00
2.76714334E+00    5.64037124E+00
2.40773137E+00    5.80307337E+00
2.03879101E+00    5.94288127E+00
1.66178143E+00    6.05923866E+00
1.27819425E+00    6.15168245E+00
8.89547564E-01    6.21984468E+00
4.97379824E-01    6.26345403E+00
1.03243656E-01    6.28233696E+00
-2.91300398E-01    6.27641836E+00
-6.84690168E-01    6.24572193E+00
-1.07536815E+00    6.19037002E+00
-1.46178778E+00    6.11058317E+00
-1.84241964E+00    6.00667918E+00
-2.21575767E+00    5.87907178E+00
-2.58032514E+00    5.72826896E+00
-2.93468063E+00    5.55487088E+00
-3.27742379E+00    5.35956738E+00
-3.60720094E+00    5.14313514E+00
-3.92271048E+00    4.90643454E+00
-4.22270803E+00    4.65040612E+00
-4.50601142E+00    4.37606671E+00
-4.77150533E+00    4.08450533E+00
-5.01814569E+00    3.77687872E+00
-5.24496378E+00    3.45440667E+00
-5.45106999E+00    3.11836708E+00
-5.63565731E+00    2.77009075E+00
-5.79800437E+00    2.41095609E+00
-5.93747829E+00    2.04238349E+00
-6.05353699E+00    1.66582971E+00
-6.14573124E+00    1.28278197E+00
-6.21370635E+00    8.94752080E-01
-6.25720337E+00    5.03270400E-01
-6.27606001E+00    1.09879768E-01
-6.27021115E+00   -2.83870598E-01
-6.23968891E+00   -6.76431205E-01
-6.18462243E+00   -1.06625838E+00
-6.10523718E+00   -1.45182033E+00
-6.00185395E+00   -1.83160311E+00
-5.87488747E+00   -2.20411653E+00
-5.72484464E+00   -2.56789997E+00
-5.55232242E+00   -2.92152800E+00
-5.35800540E+00   -3.26361591E+00
-5.14266300E+00   -3.59282505E+00
-4.90714637E+00   -3.90786796E+00
-4.65238502E+00   -4.20751333E+00
-4.37938306E+00   -4.49059067E+00
-4.08921529E+00   -4.75599481E+00
-3.78302294E+00   -5.00269011E+00
-3.46200918E+00   -5.22971436E+00
-3.12743444E+00   -5.43618247E+00
-2.78061149E+00   -5.62128978E+00
-2.42290033E+00   -5.78431514E+00
-2.05570293E+00   -5.92462361E+00
-1.68045782E+00   -6.04166885E+00
-1.29863449E+00   -6.13499520E+00
-9.11727773E-01   -6.20423936E+00
-5.21252055E-01   -6.24913179E+00
-1.28735467E-01   -6.26949772E+00
2.64285997E-01   -6.26525776E+00
6.56274388E-01   -6.23642829E+00
1.04569571E+00   -6.18312130E+00
1.43102581E+00   -6.10554406E+00
1.81075626E+00   -6.00399827E+00
2.18340016E+00   -5.87887901E+00
2.54749784E+00   -5.73067316E+00
2.90162253E+00   -5.55995766E+00
3.24438586E+00   -5.36739728E+00
3.57444323E+00   -5.15374217E+00
3.89049906E+00   -4.91982496E+00
4.19131179E+00   -4.66655769E+00
4.47569876E+00   -4.39492827E+00
4.74254082E+00   -4.10599684E+00
4.99078676E+00   -3.80089163E+00
5.21945743E+00   -3.48080473E+00
5.42764965E+00   -3.14698754E+00
5.61453978E+00   -2.80074591E+00
5.77938708E+00   -2.44343521E+00
5.92153663E+00   -2.07645508E+00
6.04042208E+00   -1.70124400E+00
6.13556793E+00   -1.31927378E+00
6.20659157E+00   -9.32043786E-01
6.25320483E+00   -5.41075160E-01
6.27521536E+00   -1.47904847E-01
6.27252743E+00    2.45920411E-01
6.24514252E+00    6.38850151E-01
6.19315939E+00    1.02933629E+00
6.11677390E+00    1.41583926E+00
6.01627833E+00    1.79683407E+00
5.89206041E+00    2.17081640E+00
5.74460184E+00    2.53630858E+00
5.57447659E+00    2.89186551E+00
5.38234871E+00    3.23608041E+00
5.16896978E+00    3.56759050E+00
4.93517609E+00    3.88508252E+00
4.68188532E+00    4.18729794E+00
4.41009305E+00    4.47303816E+00
4.12086882E+00    4.74116928E+00
3.81535193E+00    4.99062677E+00
3.49474696E+00    5.22041978E+00
3.16031897E+00    5.42963516E+00
2.81338851E+00    5.61744124E+00
2.45532632E+00    5.78309119E+00
2.08754786E+00    5.92592611E+00
1.71150766E+00    6.04537770E+00
1.32869349E+00    6.14097062E+00
9.40620340E-01    6.21232445E+00
5.48824388E-01    6.25915521E+00
1.54856771E-01    6.28127658E+00
-2.39722641E-01    6.27860061E+00
-6.33351536E-01    6.25113815E+00
-1.02447145E+00    6.19899872E+00
-1.41153406E+00    6.12239013E+00
-1.79300737E+00    6.02161757E+00
-2.16738197E+00    5.89708239E+00
-2.53317698E+00    5.74928039E+00
-2.88894608E+00    5.57879987E+00
-3.23328330E+00    5.38631910E+00
-3.56482859E+00    5.17260363E+00
-3.88227330E+00    4.93850311E+00
-4.18436535E+00    4.68494780E+00
-4.46991423E+00    4.41294479E+00
-4.73779569E+00    4.12357391E+00
-4.98695617E+00    3.81798327E+00
-5.21641693E+00    3.49738469E+00
-5.42527788E+00    3.16304870E+00
-5.61272107E+00    2.81629947E+00
-5.77801384E+00    2.45850942E+00
-5.92051161E+00    2.09109373E+00
-6.03966035E+00    1.71550467E+00
-6.13499863E+00    1.33322574E+00
-6.20615931E+00    9.45765822E-01
-6.25287090E+00    5.54653103E-01
-6.27495843E+00    1.61429064E-01
-6.27234405E+00   -2.32357636E-01
-6.24504715E+00   -6.25157269E-01
-6.19318419E+00   -1.01542513E+00
-6.11696806E+00   -1.40162760E+00
-6.01670712E+00   -1.78224813E+00
-5.89280384E+00   -2.15579315E+00
-5.74575314E+00   -2.52079790E+00
-5.57614026E+00   -2.87583209E+00
-5.38463841E+00   -3.21950541E+00
-5.17200601E+00   -3.55047293E+00
-4.93908363E+00   -3.86744022E+00
-4.68679066E+00   -4.16916838E+00
-4.41612158E+00   -4.45447870E+00
-4.12814212E+00   -4.72225723E+00
-3.82398496E+00   -4.97145898E+00
-3.50484536E+00   -5.20111191E+00
-3.17197647E+00   -5.41032059E+00
-2.82668442E+00   -5.59826964E+00
-2.47032327E+00   -5.76422676E+00
-2.10428974E+00   -5.90754554E+00
-1.73001783E+00   -6.02766786E+00
-1.34897327E+00   -6.12412603E+00
-9.62647848E-01   -6.19654449E+00
-5.72553710E-01   -6.24464131E+00
-1.80217501E-01   -6.26822918E+00
2.12825487E-01   -6.26721615E+00
6.05037224E-01   -6.24160595E+00
9.94882847E-01   -6.19149803E+00
1.38083657E+00   -6.11708712E+00
1.76138753E+00   -6.01866258E+00
2.13504565E+00   -5.89660725E+00
2.50034733E+00   -5.75139604E+00
2.85586112E+00   -5.58359417E+00
3.20019326E+00   -5.39385500E+00
3.53199306E+00   -5.18291761E+00
3.84995816E+00   -4.95160399E+00
4.15283957E+00   -4.70081592E+00
4.43944658E+00   -4.43153162E+00
4.70865141E+00   -4.14480195E+00
4.95939362E+00   -3.84174650E+00
5.19068434E+00   -3.52354927E+00
5.40161016E+00   -3.19145416E+00
5.59133677E+00   -2.84676023E+00
5.75911232E+00   -2.49081671E+00
5.90427047E+00   -2.12501777E+00
6.02623306E+00   -1.75079719E+00
6.12451255E+00   -1.36962279E+00
